Pos,#,Player,G,A,P,SH,SOG,GB,TO,CT,DC,FOULS,FPS
M,18,Alexis Block,0,0,0,1,1,0,1,1,0,0,
M,13,Emma Duchscherer,1,0,1,2,2,0,3,1,0,1,0-1
G,21,Emma Anderson,0,0,0,0,0,3,2,1,0,0,
D,3,Emma Meyer,0,0,0,0,0,1,1,0,1,1,
D,25,Ella Straub,0,0,0,0,0,2,0,3,0,1,
D,20,Holly Martindale,0,0,0,0,0,2,2,4,0,5,
D,19,Reese Jones,0,0,0,0,0,0,0,0,0,4,
D,17,Kyla Pascucci,0,0,0,0,0,0,0,0,0,2,
D,12,Abby Consaul,0,0,0,0,0,4,1,3,0,1,
A,26,Ella Grace Bishop,0,0,0,1,0,2,4,0,0,1,
A,24,Gianna Nardini,0,0,0,1,1,0,0,0,0,0,
A,11,Rebecca Ferrina,0,0,0,1,1,0,0,0,1,0,
,TM,TEAM,0,0,0,0,0,0,0,0,0,0,
,8,McKensie Gehris,0,0,0,0,0,0,0,0,0,0,
,7,Alexa Kleinberger,0,1,1,0,0,1,0,1,0,0,
,33,Annie Wise,0,0,0,0,0,0,0,0,0,0,
,28,Jules Brown,0,0,0,0,0,0,4,0,0,0,
,16,Abby Hardiman,0,0,0,0,0,0,0,0,0,1,
,15,Katie Westbrook,1,0,1,1,1,0,1,0,0,1,
,10,Jonni Saluppo,0,0,0,1,0,0,1,0,0,0,
