Pos,#,Player,G,A,P,SH,SOG,GB,TO,CT,DC,FOULS,FPS
M,8,"Prasinos, Aly",2,0,2,2,2,1,3,1,0,0,1-1
,7,"Guarini, Mia",0,0,0,0,0,0,0,0,0,0,
,6,"Kreis, Sara",1,0,1,1,1,0,1,0,0,0,1-1
,5,"Scott, Hannah",2,0,2,2,2,0,0,0,0,0,
D,4,"Kulesa, Hailey",0,0,0,0,0,2,2,2,10,1,
,3,"Suglia, Ella",0,0,0,0,0,0,0,0,0,0,
G,30,"Warner, Abby",0,0,0,0,0,0,0,0,0,0,
D,2,"Cutaia, Gianna",0,0,0,0,0,1,0,3,0,1,
A,28,"Torres, Isa",2,2,4,4,3,1,5,2,1,0,
,27,"Smith, Claire",0,0,0,0,0,0,0,0,0,0,
,26,"Badger, Morgan",0,0,0,0,0,0,0,1,0,0,
,25,"Armitage, Kiera",0,0,0,0,0,0,0,0,1,0,
D,24,"Burke, Bella",0,0,0,0,0,2,0,2,1,0,
A,23,"Gioia, Kylie",4,3,7,6,4,0,2,0,5,0,1-1
,22,"Ayotte, Alexa",0,0,0,1,1,0,0,0,0,0,
M,21,"Giroux, Sammie",1,1,2,4,3,1,1,0,0,0,0-2
,20,"Schmidt, Olivia",0,0,0,0,0,0,0,0,0,0,
,1,"Alessandrini, Brooke",1,0,1,1,1,0,0,0,0,1,1-1
,19,"O'Donoghue, Hailey",0,0,0,0,0,0,0,1,2,1,
,18,"Ling, Katie",0,0,0,0,0,0,0,0,0,0,
,17,"Underwood, Reagan",1,1,2,3,2,0,0,0,0,1,0-1
D,16,"Barger, Lily",0,0,0,0,0,2,0,0,0,1,
A,15,"Gorski, Katie",1,3,4,3,3,3,1,1,0,0,
,14,"Corbett, Karsen",0,0,0,0,0,0,0,0,0,0,
A,13,"Schotta, Claire",4,0,4,7,5,0,4,0,0,1,
,12,"Gottlieb, Alex",0,2,2,0,0,0,0,0,0,0,
D,11,"Dockery, Rylee",0,0,0,0,0,3,1,2,1,2,
,10,"Olsen, Avery",1,1,2,2,1,1,0,0,0,0,1-1
